Incoming Attempts,Normal Term Seizures,Answered Calls,Normal Not Answer Calls,Outgoing Seizures,FEV Seizures,Network Conversation Minutes,NER,ACD
171,51,19,32,52,1,30.833333,100,1.622807
1,44,31,13,44,0,0.033333,100,0.001075258
456601,440591,97563,343028,453573,3648,584245.1667,97.92543202,5.988388699
41,41,40,1,41,0,14.533333,100,0.363333325
239,49,11,38,71,14,36.666667,85.96491228,3.333333364
8019,459,188,271,643,103,1435.066667,85,7.633333335
10,8,8,0,8,0,13.133333,100,1.641666625
995717,810191,219605,590586,826539,14677,305785.55,99.79417684,1.392434371
697441,495671,132245,363426,599515,18633,424442.05,85.33075564,3.209513025
1826,8250,5360,2890,8373,65,102.3,99.30187771,0.019085821
160630,46149,13141,33008,150549,70414,17189.43333,57.58906845,1.308076504
117,96,13,83,112,4,64.016667,88.88888889,4.924359
4214,1528,612,916,2300,446,3424.033333,82.41639698,5.594825708
50975,27686,12299,15387,28910,856,30424.88333,98.6882441,2.47376887
131312,104979,39559,65420,126730,11335,133433.5,90.97361237,3.373025102
2312,1310,727,583,1481,132,81.716667,97.10896961,0.112402568
5522,1173,362,811,1425,240,250.7,98.98734177,0.692541436
5146,1,1,0,1,0,1.083333,100,1.083333
503,369,92,277,387,4,275.7,96.34464752,2.99673913
8252,5697,2106,3591,5873,84,6721.85,98.41077906,3.191761633
9,4,3,1,4,0,28.25,100,9.416666667
274936,229366,126229,103137,234617,3008,136560.1,99.0315575,1.081844109
854477,734010,129831,604179,791004,32988,354766.0333,96.83304838,2.732521765
1305,4285,3184,1101,4370,26,250.55,98.64180479,0.078690327
6,2,2,0,6,4,2.716667,100,1.3583335
51423,28082,15723,12359,30212,2065,12126.01667,99.76906953,0.771227925
80,26,10,16,26,0,53.816667,100,5.3816667
346,224,131,93,234,8,586.2,99.11504425,4.47480916
24390,14470,7224,7246,18045,6,59334.08333,80.21508953,8.213466685
47473,26892,13690,13202,29933,7,134475.6333,89.86165876,9.822909666
263,134,126,8,140,2,31.933333,97.10144928,0.253439151
2540,1593,966,627,1661,17,4047.9,96.89781022,4.190372671
39,16,10,6,18,2,110.95,100,11.095
863,474,209,265,536,36,631.633333,94.8,3.022169057
1187,272,109,163,1015,32,597.916667,27.67039674,5.485474009
46222,11335,3309,8026,30016,331,9058.45,38.18426815,2.737518888
37,26,5,21,28,2,0.45,100,0.09
649,473,373,100,492,19,164.95,100,0.442225201
310,3,3,0,3,0,1.833333,100,0.611111
824,900,284,616,936,17,389.1,97.93253536,1.370070423
2820,1260,451,809,1992,43,1916.1,64.64853771,4.248558758
186317,93362,41646,51716,150343,39891,35488.23333,84.52721544,0.852140262
409492,326101,128939,197162,350736,10268,337000.4667,95.78022017,2.613642627
388,2755,1177,1578,3441,22,110.366667,80.5791167,0.093769471
60683,47412,27858,19554,60180,12617,14178.5,99.68252633,0.508956135
318,3,1,2,24,0,0.183333,12.5,0.183333
640,186,86,100,226,0,325.383333,82.30088496,3.783527128
13189,1879,1093,786,1964,5,1787.566667,95.91628382,1.635468131
30678,17777,8295,9482,32970,189,19183.23333,54.22958421,2.31262608
249,274,257,17,274,0,65.783333,100,0.255966276
1123,449,360,89,545,87,48.583333,98.0349345,0.134953703
73,18,4,14,26,8,0.5,100,0.125
533,197,4,193,208,0,4.316667,94.71153846,1.07916675
1012,497,314,183,615,21,1360.5,83.67003367,4.332802548
2112,552,215,337,606,54,1211.933333,100,5.636899223
94678,93065,26081,66984,113993,7809,102544.2167,87.64503127,3.931759391
2,31,18,13,43,8,0.133333,88.57142857,0.007407389
807,322,252,70,674,351,159.066667,99.69040248,0.631216933
1125,1,1,0,3,2,5.25,100,5.25
15593,15260,14697,563,15471,121,4553.583333,99.41368078,0.309830804
134874,71707,60281,11426,114326,28642,428157.0167,83.68773633,7.102686032
713343,500591,209479,291112,727892,115131,897056.5167,81.69433107,4.282321935
2600214,1418920,663529,755391,2453262,804965,1543255.65,86.08400064,2.325829994
5158,5198,4034,1164,5836,535,450.6,98.05697038,0.111700545
38,14,9,5,21,5,23.283333,87.5,2.587037
195,47,5,42,196,24,0.9,27.3255814,0.18
550221,190310,29760,160550,318596,121203,30289.85,96.41172686,1.017804099
85,59,40,19,84,10,116.066667,79.72972973,2.901666675
1595,1024,524,500,1350,78,2537.433333,80.50314465,4.842430025
5467,2915,1635,1280,5786,1318,5663.45,65.24171889,3.463883792
372991,302731,81300,221431,397306,23595,199676.0833,81.00671374,2.456040385
1026,4372,1076,3296,5489,463,156.75,86.98766415,0.145678439
8350,5033,2858,2175,6836,1750,2218.683333,98.95792371,0.776306275
31,13,10,3,13,0,34.883333,100,3.4883333
2088,1073,733,340,1087,10,2753.7,99.62859796,3.75675307
7516,2909,1641,1268,3186,274,5005.6,99.89697802,3.050335161
117601,37690,27405,10285,38958,955,39438.33333,99.17638081,1.439092623
275,270,261,9,270,0,65.583333,100,0.251277138
617,161,130,31,287,123,59.183333,98.17073171,0.455256408
1,1,1,0,1,0,0.266667,100,0.266667
51717,3421,2303,1118,3555,44,1806.866667,97.43662774,0.78457085
2,12,8,4,12,0,0.133333,100,0.016666625
145,49,31,18,76,27,2.716667,100,0.087634419
4802595,3149114,2595802,553312,4701688,1443039,689671.7167,96.63863767,0.265687335
242098,257230,193164,64066,265067,2693,111201.6,98.03943988,0.57568491
1357460,1185322,1034636,150686,1266629,54280,4649564.9,97.77069144,4.493913705
25,13,12,1,16,2,65.983333,92.85714286,5.498611083
436698,238858,150538,88320,261770,20944,289875.1,99.18281249,1.925594202
7127417,6205132,3395536,2809596,6811717,457277,5496479.5,97.65033583,1.618736924
22800,40068,22166,17902,43255,1916,128969.8167,96.92542151,5.818362206
103486,105035,85435,19600,110404,98,643004.8,95.22147481,7.526245684
254409,204836,145051,59785,221852,11709,445553.05,97.47457684,3.071699264
1730,483,93,390,875,1,39.733333,55.26315789,0.42724014
71910,81949,64723,17226,84247,1429,141144.1667,98.9507112,2.180742034
1,95,85,10,95,0,0,100,0
9612,8,1,7,8,0,0.65,100,0.65
61646,60992,60450,542,61371,232,13012.93333,99.75956427,0.215267714
546757,519223,508483,10740,530502,8622,858281.9333,99.49087913,1.687926506
495205,375048,264536,110512,429602,32846,800106.3167,94.52862717,3.024564962
