Incoming Attempts,Normal Term Seizures,Answered Calls,Normal Not Answer Calls,Outgoing Seizures,FEV Seizures,Network Conversation Minutes,NER,ACD
41,41,40,1,41,0,14.533333,100,0.363333325
239,49,11,38,71,14,36.666667,85.96491228,3.333333364
117,96,13,83,112,4,64.016667,88.88888889,4.924359
503,369,92,277,387,4,275.7,96.34464752,2.99673913
80,26,10,16,26,0,53.816667,100,5.3816667
39,16,10,6,18,2,110.95,100,11.095
824,900,284,616,936,17,389.1,97.93253536,1.370070423
318,3,1,2,24,0,0.183333,12.5,0.183333
533,197,4,193,208,0,4.316667,94.71153846,1.07916675
15593,15260,14697,563,15471,121,4553.583333,99.41368078,0.309830804
85,59,40,19,84,10,116.066667,79.72972973,2.901666675
31,13,10,3,13,0,34.883333,100,3.4883333
1,1,1,0,1,0,0.266667,100,0.266667
4802595,3149114,2595802,553312,4701688,1443039,689671.7167,96.63863767,0.265687335
242098,257230,193164,64066,265067,2693,111201.6,98.03943988,0.57568491
61646,60992,60450,542,61371,232,13012.93333,99.75956427,0.215267714
80,14,5,9,21,4,18.733333,82.35294118,3.7466666
628,583,499,84,598,14,863.25,99.82876712,1.72995992
13,7,6,1,7,0,3.066667,100,0.511111167
6635,5744,2015,3729,6891,248,5855.166667,86.4669577,2.905789909
20494,16320,7426,8894,20378,660,18501.15,82.76701491,2.491401831
268,169,45,124,211,28,125.033333,92.34972678,2.778518511
41,37,18,19,37,0,190.733333,100,10.59629628
8,8,5,3,8,0,6.6,100,1.32
6866089,1421866,689916,731950,3419222,1919628,197643.0833,94.8167304,0.286474126
472,245,105,140,252,2,132.683333,98,1.26365079
787,474,132,342,519,45,355.166667,100,2.690656568
63,24,16,8,27,3,68.316667,100,4.269791688
54,24,17,7,24,0,23.266667,100,1.368627471
10,2,2,0,3,0,5,66.66666667,2.5
5,5,4,1,5,0,2.183333,100,0.54583325
1140,1082,43,1039,1110,14,156,98.72262774,3.627906977
7,5,3,2,5,0,2.166667,100,0.722222333
27275,24528,23249,1279,25236,390,9461.383333,98.72011591,0.406958722
120,122,43,79,143,2,134.383333,86.5248227,3.125193791
321,271,29,242,351,0,56.516667,77.20797721,1.948850586
12736,12377,12132,245,12419,6,2966.166667,99.70998147,0.244491153
353,248,130,118,263,14,213.616667,99.59839357,1.643205131
